,campanha,conjunto_anuncio,anuncio,impressoes,cliques,gasto_total,ctr (%),cpc (R$),conversões,cpa (R$),Receita,roas,data,dia_da_semana,sexo,idade
170,Camisetas Series,Mulheres 18-24,Imagem 1,17276,636,1174.82,3.68,1.85,235,5.0,20141.03,17.14,2025-04-12,Sábado,Mulheres,18-24
171,Camisetas Filmes,Mulheres 18-24,Imagem 3,8176,701,325.69,8.57,0.46,256,1.27,23750.77,72.92,2025-04-14,Segunda-feira,Mulheres,18-24
172,Camisetas Filmes,Mulheres 18-24,Carrossel 1,4183,371,987.19,8.87,2.66,158,6.25,16410.05,16.62,2025-04-05,Sábado,Mulheres,18-24
173,Camisetas Series,Homens 18-24,Imagem 1,19991,797,1111.92,3.99,1.4,92,12.09,10668.58,9.59,2025-04-07,Segunda-feira,Homens,18-24
174,Camisetas Filmes,Mulheres 18-24,Imagem 3,14615,409,341.15,2.8,0.83,402,0.85,31734.19,93.02,2025-04-22,Terça-feira,Mulheres,18-24
175,Camisetas Series,Mulheres 24-30,Imagem 3,18394,1077,1374.56,5.86,1.28,336,4.09,17034.19,12.39,2025-04-16,Quarta-feira,Mulheres,24-30
176,Camisetas Series,Homens 18-24,Carrossel 2,10671,814,1312.08,7.63,1.61,117,11.21,8404.48,6.41,2025-04-26,Sábado,Homens,18-24
177,Camisetas Filmes,Mulheres 18-24,Video 1,5612,281,1297.2,5.01,4.62,203,6.39,24710.58,19.05,2025-04-02,Quarta-feira,Mulheres,18-24
178,Camisetas Filmes,Mulheres 18-24,Imagem 3,3959,252,70.18,6.37,0.28,137,0.51,5118.17,72.93,2025-04-28,Segunda-feira,Mulheres,18-24
179,Acessorios,Mulheres 18-24,Imagem 3,9590,648,602.49,6.76,0.93,380,1.59,13617.15,22.6,2025-04-20,Domingo,Mulheres,18-24
180,Camisetas Filmes,Mulheres 18-24,Imagem 2,16449,101,948.34,0.61,9.39,71,13.36,4103.84,4.33,2025-04-01,Terça-feira,Mulheres,18-24
181,Camisetas Series,Mulheres 18-24,Imagem 2,3071,287,1368.61,9.35,4.77,154,8.89,13848.29,10.12,2025-04-11,Sexta-feira,Mulheres,18-24
182,Acessorios,Homens 18-24,Video 1,5580,73,1422.08,1.31,19.48,38,37.42,4734.52,3.33,2025-04-07,Segunda-feira,Homens,18-24
183,Acessorios,Mulheres 24-30,Video 1,4184,170,1336.53,4.06,7.86,34,39.31,2171.4,1.62,2025-04-16,Quarta-feira,Mulheres,24-30
184,Camisetas Filmes,Homens 18-24,Imagem 3,18701,908,901.64,4.86,0.99,744,1.21,30096.5,33.38,2025-04-15,Terça-feira,Homens,18-24
185,Camisetas Filmes,Homens 18-24,Video 3,4244,300,942.7,7.07,3.14,143,6.59,4042.84,4.29,2025-04-09,Quarta-feira,Homens,18-24
186,Camisetas Filmes,Mulheres 18-24,Imagem 3,8119,504,694.81,6.21,1.38,120,5.79,13265.4,19.09,2025-04-06,Domingo,Mulheres,18-24
187,Camisetas Filmes,Homens 18-24,Video 1,13036,1165,1357.46,8.94,1.17,734,1.85,22794.38,16.79,2025-04-25,Sexta-feira,Homens,18-24
188,Blusas Inverno,Homens 18-24,Video 2,7219,175,1426.07,2.42,8.15,116,12.29,3963.41,2.78,2025-04-02,Quarta-feira,Homens,18-24
189,Blusas Inverno,Homens 18-24,Imagem 2,1699,56,1190.85,3.3,21.27,15,79.39,1858.23,1.56,2025-04-19,Sábado,Homens,18-24
190,Camisetas Filmes,Mulheres 18-24,Imagem 2,3248,156,900.26,4.8,5.77,59,15.26,3413.5,3.79,2025-04-23,Quarta-feira,Mulheres,18-24
191,Camisetas Series,Mulheres 24-30,Carrossel 1,1092,67,1294.69,6.14,19.32,18,71.93,2227.55,1.72,2025-04-08,Terça-feira,Mulheres,24-30
192,Blusas Inverno,Homens 24-30,Video 2,6717,162,1008.53,2.41,6.23,6,168.09,229.08,0.23,2025-04-26,Sábado,Homens,24-30
193,Camisetas Filmes,Homens 18-24,Imagem 3,8796,652,519.47,7.41,0.8,178,2.92,9173.54,17.66,2025-04-27,Domingo,Homens,18-24
194,Blusas Inverno,Homens 24-30,Carrossel 1,14794,1127,214.79,7.62,0.19,130,1.65,9441.2,43.96,2025-04-27,Domingo,Homens,24-30
195,Acessorios,Mulheres 18-24,Imagem 3,17817,1265,208.13,7.1,0.16,1031,0.2,48616.78,233.59,2025-04-09,Quarta-feira,Mulheres,18-24
196,Camisetas Filmes,Homens 24-30,Imagem 1,18086,667,714.16,3.69,1.07,31,23.04,963.56,1.35,2025-04-01,Terça-feira,Homens,24-30
197,Camisetas Filmes,Mulheres 24-30,Carrossel 2,14160,923,1044.84,6.52,1.13,502,2.08,48312.55,46.24,2025-04-09,Quarta-feira,Mulheres,24-30
198,Blusas Inverno,Mulheres 18-24,Carrossel 2,3408,91,517.06,2.67,5.68,18,28.73,568.23,1.1,2025-04-22,Terça-feira,Mulheres,18-24
199,Blusas Inverno,Homens 24-30,Video 2,18968,1508,521.52,7.95,0.35,1223,0.43,95462.1,183.05,2025-04-23,Quarta-feira,Homens,24-30
200,Camisetas Filmes,Mulheres 24-30,Carrossel 2,17565,1289,673.79,7.34,0.52,234,2.88,25805.35,38.3,2025-04-05,Sábado,Mulheres,24-30
201,Camisetas Series,Homens 24-30,Imagem 2,15092,974,1337.73,6.45,1.37,423,3.16,24911.81,18.62,2025-04-17,Quinta-feira,Homens,24-30
202,Camisetas Filmes,Mulheres 24-30,Carrossel 2,14065,901,1107.94,6.41,1.23,320,3.46,21656.45,19.55,2025-04-05,Sábado,Mulheres,24-30
203,Camisetas Filmes,Homens 18-24,Video 2,13265,362,1045.89,2.73,2.89,242,4.32,7674.63,7.34,2025-03-30,Domingo,Homens,18-24
204,Acessorios,Homens 18-24,Video 1,4054,271,190.02,6.68,0.7,190,1.0,20173.62,106.17,2025-04-23,Quarta-feira,Homens,18-24
205,Camisetas Filmes,Mulheres 24-30,Imagem 1,19402,1200,527.99,6.18,0.44,250,2.11,16520.22,31.29,2025-04-22,Terça-feira,Mulheres,24-30
206,Acessorios,Mulheres 18-24,Video 3,2685,123,920.59,4.58,7.48,45,20.46,1591.2,1.73,2025-04-28,Segunda-feira,Mulheres,18-24
207,Camisetas Series,Mulheres 18-24,Imagem 2,6070,543,375.16,8.95,0.69,110,3.41,6601.25,17.6,2025-04-24,Quinta-feira,Mulheres,18-24
208,Camisetas Filmes,Homens 18-24,Imagem 3,4764,440,453.92,9.24,1.03,115,3.95,12158.05,26.78,2025-04-20,Domingo,Homens,18-24
209,Camisetas Series,Homens 24-30,Imagem 1,9763,79,311.6,0.81,3.94,39,7.99,4569.0,14.66,2025-04-20,Domingo,Homens,24-30
210,Blusas Inverno,Homens 24-30,Imagem 3,1200,73,1311.3,6.08,17.96,72,18.21,6532.88,4.98,2025-04-19,Sábado,Homens,24-30
211,Camisetas Filmes,Mulheres 18-24,Video 1,5648,81,183.05,1.43,2.26,67,2.73,3116.39,17.02,2025-04-18,Sexta-feira,Mulheres,18-24
212,Camisetas Filmes,Mulheres 18-24,Video 3,15865,748,278.24,4.71,0.37,319,0.87,30993.91,111.39,2025-04-19,Sábado,Mulheres,18-24
213,Camisetas Series,Mulheres 24-30,Video 1,2723,89,278.24,3.27,3.13,79,3.52,2368.12,8.51,2025-04-11,Sexta-feira,Mulheres,24-30
214,Camisetas Filmes,Homens 18-24,Video 1,9916,503,1009.81,5.07,2.01,248,4.07,21255.48,21.05,2025-04-14,Segunda-feira,Homens,18-24
215,Camisetas Filmes,Homens 24-30,Video 3,9951,270,1144.67,2.71,4.24,58,19.74,3452.0,3.02,2025-04-08,Terça-feira,Homens,24-30
216,Camisetas Series,Homens 18-24,Video 1,10281,744,1033.81,7.24,1.39,498,2.08,38691.32,37.43,2025-04-15,Terça-feira,Homens,18-24
217,Camisetas Filmes,Homens 24-30,Video 2,2488,106,623.13,4.26,5.88,76,8.2,2316.34,3.72,2025-04-07,Segunda-feira,Homens,24-30
218,Camisetas Filmes,Homens 24-30,Imagem 2,10876,482,1162.66,4.43,2.41,391,2.97,19765.81,17.0,2025-03-31,Segunda-feira,Homens,24-30
219,Blusas Inverno,Homens 18-24,Imagem 3,4931,53,771.21,1.07,14.55,27,28.56,1149.38,1.49,2025-04-17,Quinta-feira,Homens,18-24
220,Camisetas Filmes,Mulheres 24-30,Video 3,18451,1491,383.66,8.08,0.26,1144,0.34,123935.72,323.04,2025-04-19,Sábado,Mulheres,24-30
221,Camisetas Filmes,Homens 18-24,Imagem 3,3361,253,1299.56,7.53,5.14,10,129.96,686.22,0.53,2025-04-15,Terça-feira,Homens,18-24
222,Blusas Inverno,Mulheres 24-30,Carrossel 2,3551,210,884.85,5.91,4.21,146,6.06,9554.57,10.8,2025-04-27,Domingo,Mulheres,24-30
223,Acessorios,Homens 24-30,Video 3,10486,167,637.3,1.59,3.82,83,7.68,3501.55,5.49,2025-04-03,Quinta-feira,Homens,24-30
224,Camisetas Filmes,Homens 18-24,Carrossel 2,12857,230,683.23,1.79,2.97,27,25.3,1331.95,1.95,2025-04-28,Segunda-feira,Homens,18-24
225,Blusas Inverno,Mulheres 18-24,Video 3,18169,211,623.86,1.16,2.96,79,7.9,7866.86,12.61,2025-04-26,Sábado,Mulheres,18-24
226,Camisetas Series,Mulheres 24-30,Imagem 2,11913,394,160.75,3.31,0.41,324,0.5,11794.46,73.37,2025-04-06,Domingo,Mulheres,24-30
227,Camisetas Filmes,Mulheres 18-24,Imagem 2,12448,769,1104.7,6.18,1.44,660,1.67,70292.44,63.63,2025-03-30,Domingo,Mulheres,18-24
228,Camisetas Filmes,Mulheres 18-24,Imagem 2,4368,124,421.15,2.84,3.4,22,19.14,1875.28,4.45,2025-04-01,Terça-feira,Mulheres,18-24
229,Camisetas Filmes,Homens 18-24,Video 1,6804,555,722.73,8.16,1.3,459,1.57,42739.03,59.14,2025-04-07,Segunda-feira,Homens,18-24
230,Camisetas Filmes,Mulheres 18-24,Imagem 3,11359,359,687.66,3.16,1.92,240,2.87,16612.99,24.16,2025-04-25,Sexta-feira,Mulheres,18-24
231,Blusas Inverno,Mulheres 18-24,Video 2,10000,655,131.45,6.55,0.2,519,0.25,16825.5,128.0,2025-04-28,Segunda-feira,Mulheres,18-24
232,Acessorios,Homens 18-24,Carrossel 2,15808,127,132.49,0.8,1.04,73,1.81,2385.14,18.0,2025-04-22,Terça-feira,Homens,18-24
233,Camisetas Filmes,Mulheres 24-30,Video 1,17615,837,720.93,4.75,0.86,567,1.27,68279.92,94.71,2025-04-04,Sexta-feira,Mulheres,24-30
234,Camisetas Filmes,Mulheres 24-30,Imagem 1,15736,1220,995.16,7.75,0.82,658,1.51,56259.38,56.53,2025-03-31,Segunda-feira,Mulheres,24-30
235,Camisetas Filmes,Mulheres 24-30,Carrossel 1,3027,165,200.08,5.45,1.21,87,2.3,10721.75,53.59,2025-04-03,Quinta-feira,Mulheres,24-30
236,Camisetas Filmes,Mulheres 24-30,Video 1,17533,1373,300.21,7.83,0.22,507,0.59,48551.42,161.72,2025-04-04,Sexta-feira,Mulheres,24-30
237,Camisetas Series,Mulheres 24-30,Carrossel 2,18172,1120,934.22,6.16,0.83,745,1.25,46402.47,49.67,2025-04-25,Sexta-feira,Mulheres,24-30
238,Camisetas Filmes,Mulheres 18-24,Video 2,13694,887,1172.97,6.48,1.32,695,1.69,58928.07,50.24,2025-04-03,Quinta-feira,Mulheres,18-24
239,Acessorios,Mulheres 18-24,Imagem 3,3159,218,187.03,6.9,0.86,173,1.08,11012.56,58.88,2025-04-27,Domingo,Mulheres,18-24
240,Camisetas Series,Mulheres 18-24,Video 2,5927,391,168.18,6.6,0.43,339,0.5,13269.42,78.9,2025-04-20,Domingo,Mulheres,18-24
241,Camisetas Series,Mulheres 18-24,Imagem 3,11165,852,236.98,7.63,0.28,725,0.33,86130.16,363.45,2025-04-13,Domingo,Mulheres,18-24
242,Camisetas Series,Mulheres 24-30,Video 2,19314,821,983.07,4.25,1.2,336,2.93,35723.01,36.34,2025-04-11,Sexta-feira,Mulheres,24-30
243,Camisetas Filmes,Homens 18-24,Video 1,14874,1091,574.65,7.33,0.53,742,0.77,41467.86,72.16,2025-04-17,Quinta-feira,Homens,18-24
244,Acessorios,Mulheres 24-30,Imagem 2,12197,1045,328.41,8.57,0.31,281,1.17,11378.96,34.65,2025-04-17,Quinta-feira,Mulheres,24-30
245,Camisetas Series,Mulheres 18-24,Video 2,4314,309,1167.77,7.16,3.78,269,4.34,7740.41,6.63,2025-04-23,Quarta-feira,Mulheres,18-24
246,Camisetas Filmes,Homens 18-24,Imagem 3,5294,355,596.24,6.71,1.68,83,7.18,3576.02,6.0,2025-03-30,Domingo,Homens,18-24
247,Camisetas Series,Homens 18-24,Carrossel 1,15341,139,645.74,0.91,4.65,60,10.76,7317.53,11.33,2025-04-22,Terça-feira,Homens,18-24
248,Camisetas Series,Homens 18-24,Video 2,15710,529,824.32,3.37,1.56,316,2.61,38412.85,46.6,2025-04-12,Sábado,Homens,18-24
249,Acessorios,Mulheres 24-30,Carrossel 2,7357,426,1033.54,5.79,2.43,292,3.54,36045.64,34.88,2025-04-22,Terça-feira,Mulheres,24-30
250,Camisetas Series,Mulheres 18-24,Carrossel 2,10233,846,603.72,8.27,0.71,540,1.12,36107.68,59.81,2025-04-21,Segunda-feira,Mulheres,18-24
251,Camisetas Filmes,Homens 24-30,Carrossel 1,7543,669,250.68,8.87,0.37,256,0.98,7735.8,30.86,2025-04-03,Quinta-feira,Homens,24-30
252,Camisetas Series,Homens 18-24,Carrossel 2,13163,1185,1404.73,9.0,1.19,1056,1.33,116283.13,82.78,2025-03-30,Domingo,Homens,18-24
253,Acessorios,Homens 24-30,Video 2,3748,132,445.55,3.52,3.38,131,3.4,5205.27,11.68,2025-04-25,Sexta-feira,Homens,24-30
254,Acessorios,Homens 24-30,Video 3,4005,163,1234.22,4.07,7.57,89,13.87,10506.2,8.51,2025-04-13,Domingo,Homens,24-30
255,Camisetas Series,Mulheres 18-24,Video 3,2745,151,777.91,5.5,5.15,60,12.97,3817.0,4.91,2025-04-23,Quarta-feira,Mulheres,18-24
256,Acessorios,Mulheres 24-30,Video 1,13285,509,90.87,3.83,0.18,476,0.19,16616.36,182.86,2025-04-20,Domingo,Mulheres,24-30
257,Camisetas Filmes,Homens 18-24,Imagem 3,5785,190,105.54,3.28,0.56,120,0.88,11352.86,107.57,2025-04-25,Sexta-feira,Homens,18-24
258,Camisetas Filmes,Homens 24-30,Carrossel 1,16371,968,942.25,5.91,0.97,927,1.02,30519.23,32.39,2025-04-25,Sexta-feira,Homens,24-30
259,Acessorios,Homens 18-24,Video 2,8066,203,845.77,2.52,4.17,186,4.55,15975.17,18.89,2025-04-08,Terça-feira,Homens,18-24
260,Camisetas Series,Homens 18-24,Video 3,4643,447,467.75,9.63,1.05,154,3.04,5726.46,12.24,2025-04-23,Quarta-feira,Homens,18-24
261,Acessorios,Homens 24-30,Imagem 2,14756,1358,1201.15,9.2,0.88,936,1.28,29278.75,24.38,2025-04-01,Terça-feira,Homens,24-30
262,Blusas Inverno,Mulheres 18-24,Carrossel 2,18565,83,966.33,0.45,11.64,73,13.24,3591.15,3.72,2025-04-11,Sexta-feira,Mulheres,18-24
263,Camisetas Series,Homens 18-24,Carrossel 1,10544,489,52.27,4.64,0.11,180,0.29,8830.16,168.93,2025-04-07,Segunda-feira,Homens,18-24
264,Camisetas Filmes,Mulheres 24-30,Video 3,7137,137,809.05,1.92,5.91,92,8.79,2922.65,3.61,2025-04-23,Quarta-feira,Mulheres,24-30
265,Blusas Inverno,Mulheres 24-30,Imagem 1,13794,1012,113.12,7.34,0.11,396,0.29,48749.16,430.95,2025-04-10,Quinta-feira,Mulheres,24-30
266,Acessorios,Mulheres 18-24,Video 2,1532,95,1193.35,6.2,12.56,44,27.12,2160.95,1.81,2025-04-11,Sexta-feira,Mulheres,18-24
267,Blusas Inverno,Mulheres 24-30,Video 1,11895,323,114.29,2.72,0.35,279,0.41,16420.47,143.67,2025-04-06,Domingo,Mulheres,24-30
268,Blusas Inverno,Homens 18-24,Carrossel 1,16224,1474,743.87,9.09,0.5,373,1.99,39593.86,53.23,2025-04-05,Sábado,Homens,18-24
269,Camisetas Series,Homens 18-24,Video 1,15997,125,475.49,0.78,3.8,5,95.1,520.55,1.09,2025-04-23,Quarta-feira,Homens,18-24
270,Acessorios,Mulheres 18-24,Imagem 1,11341,685,797.31,6.04,1.16,556,1.43,40221.03,50.45,2025-04-23,Quarta-feira,Mulheres,18-24
271,Camisetas Filmes,Mulheres 18-24,Imagem 1,7262,342,567.61,4.71,1.66,24,23.65,2677.92,4.72,2025-04-09,Quarta-feira,Mulheres,18-24
272,Camisetas Series,Homens 18-24,Imagem 3,9952,177,1209.05,1.78,6.83,111,10.89,12648.3,10.46,2025-04-05,Sábado,Homens,18-24
273,Camisetas Filmes,Mulheres 18-24,Carrossel 2,13669,744,1461.9,5.44,1.96,508,2.88,47857.08,32.74,2025-04-01,Terça-feira,Mulheres,18-24
274,Camisetas Series,Homens 24-30,Imagem 3,18015,596,1211.66,3.31,2.03,434,2.79,14275.43,11.78,2025-03-30,Domingo,Homens,24-30
275,Camisetas Series,Mulheres 24-30,Carrossel 1,18874,651,515.76,3.45,0.79,81,6.37,4681.15,9.08,2025-04-19,Sábado,Mulheres,24-30
276,Camisetas Series,Mulheres 18-24,Video 2,11043,963,923.8,8.72,0.96,436,2.12,18165.71,19.66,2025-04-02,Quarta-feira,Mulheres,18-24
277,Blusas Inverno,Mulheres 18-24,Carrossel 2,12519,965,111.41,7.71,0.12,890,0.13,103383.04,927.95,2025-04-20,Domingo,Mulheres,18-24
278,Camisetas Filmes,Homens 18-24,Video 3,9996,704,1471.04,7.04,2.09,58,25.36,1885.24,1.28,2025-04-13,Domingo,Homens,18-24
279,Blusas Inverno,Mulheres 18-24,Video 3,12904,1100,1211.59,8.52,1.1,327,3.71,39331.21,32.46,2025-04-13,Domingo,Mulheres,18-24
280,Blusas Inverno,Homens 18-24,Carrossel 1,15358,121,233.03,0.79,1.93,30,7.77,3085.55,13.24,2025-04-05,Sábado,Homens,18-24
281,Camisetas Filmes,Homens 18-24,Imagem 3,12866,834,1426.73,6.48,1.71,33,43.23,2821.81,1.98,2025-03-31,Segunda-feira,Homens,18-24
282,Camisetas Filmes,Mulheres 18-24,Carrossel 2,13155,811,693.71,6.16,0.86,78,8.89,6426.59,9.26,2025-03-30,Domingo,Mulheres,18-24
283,Camisetas Filmes,Mulheres 18-24,Imagem 3,14042,693,991.86,4.94,1.43,255,3.89,30868.26,31.12,2025-04-10,Quinta-feira,Mulheres,18-24
284,Acessorios,Homens 18-24,Imagem 1,7096,561,800.73,7.91,1.43,120,6.67,6141.32,7.67,2025-04-01,Terça-feira,Homens,18-24
285,Camisetas Series,Homens 24-30,Video 2,15623,489,1494.73,3.13,3.06,146,10.24,13782.12,9.22,2025-04-27,Domingo,Homens,24-30
286,Camisetas Filmes,Mulheres 18-24,Carrossel 2,7559,175,246.81,2.32,1.41,18,13.71,1263.68,5.12,2025-04-02,Quarta-feira,Mulheres,18-24
287,Blusas Inverno,Mulheres 24-30,Carrossel 2,3876,213,1018.37,5.5,4.78,181,5.63,5700.4,5.6,2025-04-04,Sexta-feira,Mulheres,24-30
288,Camisetas Filmes,Mulheres 24-30,Video 2,10828,372,1082.12,3.44,2.91,358,3.02,31779.66,29.37,2025-04-02,Quarta-feira,Mulheres,24-30
289,Camisetas Series,Homens 18-24,Imagem 3,17670,509,225.98,2.88,0.44,102,2.22,10629.07,47.04,2025-04-14,Segunda-feira,Homens,18-24
290,Camisetas Series,Mulheres 24-30,Imagem 2,17188,103,573.3,0.6,5.57,73,7.85,4518.05,7.88,2025-04-06,Domingo,Mulheres,24-30
291,Camisetas Series,Homens 18-24,Carrossel 1,3825,83,498.47,2.17,6.01,61,8.17,4731.74,9.49,2025-04-15,Terça-feira,Homens,18-24
292,Camisetas Series,Homens 18-24,Video 3,19838,201,231.72,1.01,1.15,81,2.86,7227.94,31.19,2025-04-19,Sábado,Homens,18-24
293,Camisetas Filmes,Homens 18-24,Carrossel 2,16264,1442,800.17,8.87,0.55,262,3.05,29552.56,36.93,2025-04-23,Quarta-feira,Homens,18-24
294,Camisetas Filmes,Homens 18-24,Carrossel 1,5228,271,779.15,5.18,2.88,28,27.83,3027.89,3.89,2025-04-17,Quinta-feira,Homens,18-24
295,Camisetas Filmes,Mulheres 18-24,Carrossel 1,10965,387,284.85,3.53,0.74,363,0.78,17259.57,60.59,2025-04-05,Sábado,Mulheres,18-24
296,Camisetas Filmes,Homens 18-24,Video 2,3584,178,334.64,4.97,1.88,141,2.37,7394.76,22.1,2025-04-10,Quinta-feira,Homens,18-24
297,Blusas Inverno,Mulheres 18-24,Video 2,18481,241,778.73,1.3,3.23,43,18.11,3619.78,4.65,2025-04-23,Quarta-feira,Mulheres,18-24
298,Camisetas Series,Homens 18-24,Carrossel 1,6609,395,1271.67,5.98,3.22,288,4.42,8386.4,6.59,2025-04-28,Segunda-feira,Homens,18-24
299,Camisetas Filmes,Homens 18-24,Imagem 1,3661,73,1425.39,1.99,19.53,73,19.53,3756.99,2.64,2025-03-31,Segunda-feira,Homens,18-24
300,Camisetas Filmes,Homens 18-24,Imagem 2,19747,903,946.26,4.57,1.05,31,30.52,2318.92,2.45,2025-04-02,Quarta-feira,Homens,18-24
301,Camisetas Filmes,Homens 18-24,Video 2,10899,1039,405.07,9.53,0.39,831,0.49,45491.75,112.31,2025-04-03,Quinta-feira,Homens,18-24
302,Camisetas Filmes,Mulheres 18-24,Video 1,2963,90,687.43,3.04,7.64,61,11.27,4358.1,6.34,2025-04-09,Quarta-feira,Mulheres,18-24
303,Camisetas Filmes,Homens 18-24,Imagem 3,5707,370,1299.15,6.48,3.51,163,7.97,16042.46,12.35,2025-04-20,Domingo,Homens,18-24
304,Camisetas Series,Mulheres 18-24,Imagem 3,14065,317,1152.96,2.25,3.64,263,4.38,21346.43,18.51,2025-04-08,Terça-feira,Mulheres,18-24
305,Camisetas Filmes,Homens 24-30,Imagem 3,8921,527,227.66,5.91,0.43,460,0.49,22904.27,100.61,2025-04-27,Domingo,Homens,24-30
306,Camisetas Series,Homens 18-24,Video 1,2658,124,1420.81,4.67,11.46,110,12.92,9519.15,6.7,2025-04-23,Quarta-feira,Homens,18-24
307,Blusas Inverno,Mulheres 24-30,Imagem 2,6233,385,1403.94,6.18,3.65,369,3.8,20764.18,14.79,2025-04-24,Quinta-feira,Mulheres,24-30
308,Camisetas Filmes,Homens 18-24,Carrossel 1,17327,1104,726.88,6.37,0.66,631,1.15,47159.06,64.88,2025-04-18,Sexta-feira,Homens,18-24
309,Blusas Inverno,Homens 24-30,Video 1,13885,1085,712.98,7.81,0.66,493,1.45,22931.62,32.16,2025-04-11,Sexta-feira,Homens,24-30
310,Camisetas Filmes,Homens 18-24,Imagem 3,2594,62,457.97,2.39,7.39,38,12.05,4302.89,9.4,2025-04-16,Quarta-feira,Homens,18-24
311,Camisetas Filmes,Mulheres 18-24,Carrossel 2,10363,599,61.86,5.78,0.1,110,0.56,7490.21,121.08,2025-04-11,Sexta-feira,Mulheres,18-24
312,Camisetas Series,Homens 18-24,Video 2,12985,875,580.61,6.74,0.66,410,1.42,12347.47,21.27,2025-04-26,Sábado,Homens,18-24
313,Camisetas Series,Homens 24-30,Imagem 2,12879,1183,468.47,9.19,0.4,791,0.59,59661.61,127.35,2025-04-03,Quinta-feira,Homens,24-30
314,Camisetas Filmes,Homens 18-24,Video 2,4893,115,1463.87,2.35,12.73,50,29.28,3115.99,2.13,2025-04-13,Domingo,Homens,18-24
315,Blusas Inverno,Mulheres 24-30,Imagem 3,19279,798,1144.7,4.14,1.43,203,5.64,17305.0,15.12,2025-04-22,Terça-feira,Mulheres,24-30
316,Camisetas Series,Mulheres 18-24,Video 3,17386,132,115.69,0.76,0.88,35,3.31,3372.57,29.15,2025-04-27,Domingo,Mulheres,18-24
317,Camisetas Filmes,Mulheres 18-24,Carrossel 2,18017,985,265.96,5.47,0.27,914,0.29,69967.22,263.07,2025-04-02,Quarta-feira,Mulheres,18-24
318,Camisetas Series,Homens 18-24,Imagem 3,11437,382,619.78,3.34,1.62,315,1.97,31163.56,50.28,2025-04-12,Sábado,Homens,18-24
319,Camisetas Filmes,Homens 18-24,Video 2,12022,1088,1251.02,9.05,1.15,1003,1.25,96161.6,76.87,2025-04-25,Sexta-feira,Homens,18-24
320,Camisetas Filmes,Homens 18-24,Video 2,16561,84,584.12,0.51,6.95,14,41.72,1721.86,2.95,2025-04-01,Terça-feira,Homens,18-24
321,Camisetas Filmes,Homens 18-24,Video 2,1873,171,435.02,9.13,2.54,167,2.6,17249.5,39.65,2025-04-05,Sábado,Homens,18-24
322,Camisetas Filmes,Mulheres 24-30,Imagem 2,2682,199,746.65,7.42,3.75,134,5.57,11778.94,15.78,2025-03-30,Domingo,Mulheres,24-30
323,Camisetas Series,Mulheres 18-24,Video 3,5842,298,95.78,5.1,0.32,56,1.71,2468.39,25.77,2025-04-03,Quinta-feira,Mulheres,18-24
324,Blusas Inverno,Mulheres 18-24,Carrossel 2,11279,907,269.58,8.04,0.3,707,0.38,32090.14,119.04,2025-04-23,Quarta-feira,Mulheres,18-24
325,Camisetas Filmes,Mulheres 18-24,Carrossel 2,3040,230,250.22,7.57,1.09,53,4.72,4297.7,17.18,2025-03-30,Domingo,Mulheres,18-24
326,Camisetas Series,Homens 24-30,Carrossel 2,18218,821,504.94,4.51,0.62,177,2.85,12561.04,24.88,2025-04-19,Sábado,Homens,24-30
327,Camisetas Series,Homens 18-24,Imagem 3,18900,775,1030.01,4.1,1.33,738,1.4,68689.05,66.69,2025-04-03,Quinta-feira,Homens,18-24
328,Camisetas Filmes,Homens 18-24,Video 2,16865,443,1438.14,2.63,3.25,142,10.13,11474.83,7.98,2025-04-11,Sexta-feira,Homens,18-24
329,Camisetas Series,Mulheres 18-24,Imagem 2,10752,641,1072.11,5.96,1.67,500,2.14,28352.04,26.45,2025-04-15,Terça-feira,Mulheres,18-24
330,Camisetas Filmes,Mulheres 24-30,Imagem 3,19366,1678,1096.41,8.66,0.65,589,1.86,21903.38,19.98,2025-04-24,Quinta-feira,Mulheres,24-30
331,Camisetas Series,Homens 18-24,Video 3,13928,756,1434.18,5.43,1.9,149,9.63,8052.74,5.61,2025-04-15,Terça-feira,Homens,18-24
332,Camisetas Filmes,Homens 18-24,Video 2,3589,227,1389.81,6.32,6.12,167,8.32,8457.61,6.09,2025-03-31,Segunda-feira,Homens,18-24
333,Camisetas Filmes,Homens 18-24,Carrossel 2,8011,256,1250.53,3.2,4.88,138,9.06,16325.73,13.06,2025-04-01,Terça-feira,Homens,18-24
334,Camisetas Filmes,Homens 18-24,Video 2,5498,105,942.73,1.91,8.98,75,12.57,3669.62,3.89,2025-04-16,Quarta-feira,Homens,18-24
335,Camisetas Filmes,Mulheres 24-30,Imagem 1,18401,512,975.02,2.78,1.9,53,18.4,1856.05,1.9,2025-04-10,Quinta-feira,Mulheres,24-30
336,Camisetas Filmes,Mulheres 18-24,Imagem 3,16479,255,1037.73,1.55,4.07,70,14.82,1786.27,1.72,2025-04-10,Quinta-feira,Mulheres,18-24
337,Camisetas Series,Mulheres 24-30,Carrossel 1,14333,1387,1405.8,9.68,1.01,974,1.44,70853.49,50.4,2025-04-03,Quinta-feira,Mulheres,24-30
338,Camisetas Filmes,Homens 18-24,Imagem 2,10412,378,463.85,3.63,1.23,30,15.46,3473.81,7.49,2025-04-27,Domingo,Homens,18-24
339,Acessorios,Mulheres 24-30,Video 1,19813,525,825.97,2.65,1.57,38,21.74,4420.27,5.35,2025-03-31,Segunda-feira,Mulheres,24-30
